sector,district,current_employment,projected_employment_2yr,growth_rate_percent,key_roles_in_demand,skills_gap_percent,avg_salary_offered,training_alignment_score,employer_satisfaction_score,hiring_intent_next_quarter,technology_adoption_level,automation_risk,green_jobs_potential,last_survey_date
IT & Software Services,Mumbai,11778,13357,13.41,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,43.21,118924,77.53,40.35,Low,Emerging,Low,High,2026-06-16
Logistics & Supply Chain,Sangli,8448,9400,11.27,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,40.95,49198,78.47,56.46,Low,Basic,Low,Medium,2026-04-18
Logistics & Supply Chain,Jalgaon,45648,47853,4.83,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,40.76,58130,75.04,53.36,Medium,Advanced,Low,Medium,2026-06-10
Logistics & Supply Chain,Akola,31452,32963,4.81,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,15.41,28440,52.59,65.15,Medium,Basic,Low,Medium,2026-07-18
Logistics & Supply Chain,Latur,1529,1616,5.7,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,45.16,45892,54.15,81.62,High,Emerging,Low,Medium,2026-05-17
Logistics & Supply Chain,Dhule,36609,40919,11.78,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,51.09,45480,33.0,64.75,Low,Advanced,Medium,Medium,2026-06-30
Logistics & Supply Chain,Ahmednagar,8626,8984,4.16,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,29.88,46322,54.45,82.49,Low,Moderate,Medium,High,2026-04-20
Logistics & Supply Chain,Chandrapur,2201,2300,4.51,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,46.06,48826,46.55,59.26,Medium,Moderate,Medium,Medium,2026-09-02
Logistics & Supply Chain,Parbhani,7601,8300,9.21,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,28.72,26455,76.62,47.45,Low,Emerging,Medium,Medium,2026-08-10
Logistics & Supply Chain,Jalna,36451,40187,10.25,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,58.99,65144,37.65,48.39,Medium,Emerging,High,Medium,2026-03-25
Logistics & Supply Chain,Bhiwandi,28211,30872,9.43,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,41.47,19753,45.73,85.61,Low,Moderate,High,Medium,2026-06-30
Logistics & Supply Chain,Nanded,41719,43365,3.95,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,16.29,56557,72.83,73.48,High,Basic,High,Low,2026-07-30
Logistics & Supply Chain,Satara,31966,33632,5.21,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,58.22,30234,76.73,73.98,Medium,Advanced,Low,Medium,2026-07-16
Logistics & Supply Chain,Beed,7413,8258,11.4,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,42.92,61822,39.66,45.04,High,Emerging,Low,Medium,2026-07-19
Logistics & Supply Chain,Yavatmal,28655,31903,11.34,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,30.25,22910,67.33,62.56,No Change,Emerging,Low,Low,2026-08-25
Logistics & Supply Chain,Osmanabad,14557,15473,6.29,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,17.04,33189,80.84,89.6,Low,Advanced,High,Low,2026-03-26
Logistics & Supply Chain,Raigad,40282,42677,5.95,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,30.31,52564,31.38,56.21,No Change,Emerging,Medium,Low,2026-05-02
Logistics & Supply Chain,Ratnagiri,3729,4139,11.02,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,24.3,61394,75.32,55.29,No Change,Emerging,Low,Medium,2026-08-02
Logistics & Supply Chain,Sindhudurg,5546,6117,10.31,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,36.24,19413,56.4,78.72,No Change,Advanced,Low,High,2026-05-14
Logistics & Supply Chain,Wardha,6015,6264,4.14,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,16.82,28970,75.68,65.5,No Change,Moderate,High,Medium,2026-08-10
Logistics & Supply Chain,Washim,27188,28570,5.09,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,39.24,39814,58.57,42.86,High,Basic,High,Medium,2026-03-09
Logistics & Supply Chain,Gondia,25837,28216,9.21,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,35.34,29273,32.32,71.45,Medium,Advanced,High,High,2026-05-05
Logistics & Supply Chain,Bhandara,21072,22437,6.48,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,58.33,42605,80.08,44.25,No Change,Emerging,Medium,Medium,2026-05-17
Logistics & Supply Chain,Gadchiroli,1376,1443,4.88,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,27.05,50798,81.47,72.1,Low,Emerging,High,High,2026-08-08
Logistics & Supply Chain,Hingoli,45894,50107,9.18,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,51.81,34944,58.6,41.12,High,Basic,Medium,Medium,2026-04-17
Logistics & Supply Chain,Nandurbar,4458,4615,3.53,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,23.52,38012,38.2,41.48,Low,Emerging,Medium,Low,2026-04-15
Education & EdTech,Mumbai,17977,19756,9.9,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,49.37,19440,82.25,52.94,Low,Moderate,High,Low,2026-07-29
Education & EdTech,Pune,46678,49307,5.63,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,23.26,51973,84.62,75.68,Low,Moderate,Medium,Medium,2026-06-08
Education & EdTech,Nagpur,49847,52264,4.85,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,28.99,67587,64.85,85.85,High,Emerging,High,High,2026-07-03
Education & EdTech,Thane,19978,22036,10.3,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,57.55,54820,54.39,44.56,High,Emerging,High,Low,2026-08-29
Education & EdTech,Nashik,38539,41225,6.97,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,34.6,62830,35.27,53.82,Low,Moderate,Medium,Medium,2026-06-10
Education & EdTech,Aurangabad,29989,31755,5.89,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,46.98,66458,38.75,80.12,High,Emerging,Medium,High,2026-05-10
Education & EdTech,Solapur,8980,9422,4.93,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,35.79,33111,61.54,80.32,High,Advanced,Low,High,2026-06-17
Education & EdTech,Amravati,2640,2733,3.56,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,43.06,32106,35.35,43.37,High,Basic,Low,Low,2026-06-17
Education & EdTech,Kolhapur,17423,19123,9.76,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,32.48,68478,62.09,43.79,High,Moderate,Low,High,2026-07-12
Education & EdTech,Sangli,49224,54712,11.15,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,44.99,37813,34.9,42.34,No Change,Basic,High,High,2026-07-17
Education & EdTech,Jalgaon,42838,47237,10.27,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,58.27,52109,83.85,86.48,No Change,Basic,High,High,2026-09-04
Education & EdTech,Akola,23913,25890,8.27,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,20.63,43083,63.22,46.75,No Change,Moderate,Medium,Medium,2026-07-05
Education & EdTech,Latur,8011,8438,5.34,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,24.41,37714,70.71,54.71,Low,Basic,Low,Medium,2026-06-07
Education & EdTech,Dhule,2212,2445,10.55,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,45.32,42270,70.37,63.38,No Change,Emerging,Low,Low,2026-08-29
Education & EdTech,Ahmednagar,18706,19426,3.85,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,31.95,22330,46.54,58.04,No Change,Advanced,Medium,Low,2026-03-27
Education & EdTech,Chandrapur,5717,6183,8.16,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,27.88,18152,46.61,80.46,Medium,Emerging,Low,Medium,2026-03-14
Education & EdTech,Parbhani,3143,3398,8.13,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,17.73,28594,49.5,57.19,Low,Moderate,High,High,2026-08-19
Education & EdTech,Jalna,5601,6042,7.87,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,41.06,59271,51.68,49.94,No Change,Advanced,High,Low,2026-08-11
Education & EdTech,Bhiwandi,49070,52208,6.4,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,52.67,21988,46.86,54.79,Low,Moderate,High,Low,2026-04-27
Education & EdTech,Nanded,18151,18890,4.07,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,32.12,61241,54.51,54.84,Low,Basic,High,High,2026-05-05
Education & EdTech,Satara,36721,39122,6.54,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,33.35,21022,58.74,88.18,No Change,Advanced,Medium,Low,2026-05-31
Education & EdTech,Beed,28284,30831,9.01,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,44.38,28824,32.25,59.38,Low,Emerging,Low,High,2026-05-31
Education & EdTech,Yavatmal,11051,11746,6.3,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,36.63,39984,42.37,50.78,Medium,Basic,Medium,Low,2026-03-31
Education & EdTech,Osmanabad,36309,40633,11.91,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,15.04,63722,51.43,75.4,No Change,Moderate,Medium,Low,2026-08-12
Education & EdTech,Raigad,1104,1208,9.48,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,16.09,24061,55.78,46.26,High,Emerging,Medium,Low,2026-09-03
Education & EdTech,Ratnagiri,33401,35864,7.38,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,50.88,39871,69.26,64.94,Low,Moderate,Low,Low,2026-08-30
Education & EdTech,Sindhudurg,13231,13997,5.8,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,41.75,36457,71.26,43.94,Low,Advanced,Low,Low,2026-06-28
Education & EdTech,Wardha,26104,27184,4.14,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,58.41,24858,62.39,87.76,Medium,Basic,Medium,High,2026-05-28
Education & EdTech,Washim,32321,35269,9.12,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,48.8,62129,75.12,81.62,Medium,Moderate,Medium,Medium,2026-03-21
Education & EdTech,Gondia,16398,16996,3.65,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,18.85,47746,68.25,41.74,High,Advanced,High,Low,2026-05-25
Education & EdTech,Bhandara,22332,23070,3.31,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,16.62,59025,40.2,61.6,Low,Moderate,High,High,2026-07-18
Education & EdTech,Gadchiroli,22732,23793,4.67,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,55.04,47705,31.02,76.46,Low,Advanced,Low,Low,2026-06-21
Education & EdTech,Hingoli,926,1025,10.7,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,42.94,38124,65.68,70.46,Low,Emerging,Low,High,2026-03-21
Education & EdTech,Nandurbar,26458,29404,11.14,Teacher; Training Coordinator; Content Developer; EdTech Support; Academic Counselor,29.05,59990,58.43,51.35,Medium,Advanced,High,High,2026-05-27
Media & Entertainment,Mumbai,43061,44713,3.84,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,47.09,57271,39.56,43.96,High,Emerging,Medium,Medium,2026-06-29
Media & Entertainment,Pune,42457,46318,9.1,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,19.63,44652,37.18,53.82,Medium,Moderate,Low,Low,2026-07-27
Media & Entertainment,Nagpur,15031,15862,5.53,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,16.24,65305,83.22,51.17,Medium,Moderate,Medium,Medium,2026-06-20
Media & Entertainment,Thane,49565,53599,8.14,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,56.22,57986,63.74,50.95,Medium,Basic,Low,Low,2026-04-28
Media & Entertainment,Nashik,45300,48528,7.13,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,52.33,19226,36.45,40.08,No Change,Moderate,Low,Low,2026-05-12
Media & Entertainment,Aurangabad,43325,47612,9.9,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,59.94,18206,61.86,76.51,No Change,Advanced,High,Low,2026-08-05
Media & Entertainment,Solapur,18145,19426,7.06,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,36.84,55030,34.09,65.91,No Change,Advanced,High,Medium,2026-08-16
Media & Entertainment,Amravati,20293,21971,8.27,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,33.61,47154,72.8,47.75,No Change,Emerging,Low,Medium,2026-05-22
Media & Entertainment,Kolhapur,45449,50783,11.74,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,45.94,34960,61.96,79.66,Medium,Emerging,Low,High,2026-03-18
Media & Entertainment,Sangli,16525,17464,5.69,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,58.84,60261,48.92,68.6,Low,Basic,Medium,High,2026-07-29
Media & Entertainment,Jalgaon,30789,33140,7.64,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,54.91,60574,58.18,40.16,High,Basic,Medium,Low,2026-03-22
Media & Entertainment,Akola,28586,30640,7.19,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,22.4,29473,43.6,45.63,Medium,Emerging,Low,Medium,2026-06-05
Media & Entertainment,Latur,34535,35622,3.15,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,52.01,63250,58.79,78.63,Low,Basic,Medium,Low,2026-08-27
Media & Entertainment,Dhule,15824,17165,8.48,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,44.28,56328,51.46,47.87,Low,Basic,High,Medium,2026-05-07
Media & Entertainment,Ahmednagar,10258,11067,7.9,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,52.27,60114,79.58,87.83,No Change,Moderate,Low,Medium,2026-07-19
Media & Entertainment,Chandrapur,41933,44859,6.98,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,27.79,32472,79.31,64.23,Medium,Basic,Medium,Medium,2026-03-26
Media & Entertainment,Parbhani,48475,50087,3.33,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,25.99,18517,36.98,66.57,Low,Emerging,Low,High,2026-08-01
Media & Entertainment,Jalna,13955,15033,7.73,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,27.16,25208,54.74,55.26,Low,Advanced,High,Low,2026-04-28
Media & Entertainment,Bhiwandi,19188,20384,6.24,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,50.58,44965,69.74,66.31,High,Basic,Medium,High,2026-05-08
Media & Entertainment,Nanded,26102,28380,8.73,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,20.56,43199,81.52,75.58,Low,Basic,High,Low,2026-06-15
Media & Entertainment,Satara,2122,2322,9.43,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,49.53,46405,32.72,51.96,No Change,Moderate,Low,High,2026-08-08
Media & Entertainment,Beed,29843,33404,11.94,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,51.66,23806,56.07,48.07,High,Moderate,High,Medium,2026-04-10
Media & Entertainment,Yavatmal,27036,30014,11.02,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,50.09,41035,83.12,68.45,Medium,Basic,Low,Low,2026-05-27
Media & Entertainment,Osmanabad,29271,32524,11.12,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,59.72,36898,77.27,74.78,High,Advanced,Medium,Medium,2026-05-01
Media & Entertainment,Raigad,45816,49619,8.3,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,54.83,22103,51.7,88.59,No Change,Emerging,Medium,Medium,2026-04-20
Media & Entertainment,Ratnagiri,31569,32858,4.08,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,34.38,34593,63.4,73.52,No Change,Emerging,Medium,Low,2026-03-29
Media & Entertainment,Sindhudurg,33629,36070,7.26,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,19.71,38152,68.59,59.68,No Change,Moderate,Medium,High,2026-07-17
Media & Entertainment,Wardha,19271,20245,5.06,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,18.47,53406,60.95,41.19,High,Basic,Low,Medium,2026-04-18
Media & Entertainment,Washim,25829,28104,8.81,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,31.8,52443,68.44,45.69,Low,Advanced,High,High,2026-08-03
Media & Entertainment,Gondia,21196,22676,6.98,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,28.84,68361,71.76,83.94,No Change,Moderate,High,Low,2026-06-11
Media & Entertainment,Bhandara,41909,44561,6.33,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,40.14,62829,53.41,72.4,Low,Moderate,Low,Medium,2026-06-04
Media & Entertainment,Gadchiroli,37341,38813,3.94,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,27.9,25941,70.81,68.5,Low,Advanced,Low,Medium,2026-08-10
Media & Entertainment,Hingoli,9224,9885,7.17,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,15.0,69784,41.12,86.29,High,Advanced,Low,Medium,2026-08-11
Media & Entertainment,Nandurbar,16394,17251,5.23,Video Editor; Content Creator; Graphic Designer; Social Media Manager; Photographer,15.49,55341,45.45,70.39,No Change,Emerging,High,High,2026-08-05
Pharmaceuticals,Mumbai,9178,10113,10.19,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,15.48,54919,74.87,57.85,High,Basic,Low,Low,2026-09-04
Pharmaceuticals,Pune,40062,42390,5.81,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,42.67,67893,50.95,62.52,Medium,Emerging,Medium,High,2026-09-03
Pharmaceuticals,Nagpur,47277,50389,6.58,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,49.16,70690,49.62,47.12,No Change,Emerging,Low,High,2026-07-21
Pharmaceuticals,Thane,15721,16906,7.54,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,29.53,47220,66.05,71.46,Low,Advanced,Medium,Medium,2026-05-23
Pharmaceuticals,Nashik,47682,51323,7.64,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,47.1,79289,39.37,58.97,Medium,Moderate,Medium,Medium,2026-06-04
Pharmaceuticals,Aurangabad,16765,17825,6.32,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,54.85,43107,40.94,60.17,No Change,Emerging,High,High,2026-07-24
Pharmaceuticals,Solapur,25947,28576,10.14,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,28.34,55199,66.89,65.62,Medium,Basic,Low,Medium,2026-03-12
Pharmaceuticals,Amravati,2245,2320,3.34,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,20.64,41286,40.73,52.72,No Change,Basic,Low,Low,2026-05-20
Pharmaceuticals,Kolhapur,3717,4113,10.65,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,59.73,61360,80.05,66.93,Low,Moderate,Low,Medium,2026-05-15
Pharmaceuticals,Sangli,20897,21842,4.52,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,22.84,55596,58.69,77.33,Low,Advanced,Medium,High,2026-04-29
Pharmaceuticals,Jalgaon,8663,9676,11.7,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,32.01,53671,83.69,72.11,High,Basic,High,Medium,2026-07-27
Pharmaceuticals,Akola,40610,43189,6.35,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,57.52,52377,56.34,78.39,High,Basic,Low,High,2026-04-07
Pharmaceuticals,Latur,37207,40781,9.61,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,27.42,50262,33.06,44.55,High,Moderate,High,Low,2026-03-19
Pharmaceuticals,Dhule,36579,40590,10.97,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,27.35,68511,70.71,43.52,Medium,Advanced,Low,Low,2026-08-18
Pharmaceuticals,Ahmednagar,35220,36802,4.49,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,53.62,60030,39.08,65.8,No Change,Advanced,Medium,Medium,2026-07-08
Pharmaceuticals,Chandrapur,3651,3870,6.02,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,57.56,76320,79.32,73.48,High,Basic,High,Medium,2026-03-10
Pharmaceuticals,Parbhani,5746,6354,10.59,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,36.97,56353,67.58,48.03,No Change,Advanced,High,Medium,2026-03-30
Pharmaceuticals,Jalna,26398,29155,10.45,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,25.08,67936,70.19,63.14,Medium,Emerging,Medium,Medium,2026-04-25
Pharmaceuticals,Bhiwandi,44667,47111,5.47,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,54.59,29201,55.9,59.84,High,Advanced,Medium,Low,2026-04-27
Pharmaceuticals,Nanded,698,766,9.88,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,22.48,67362,36.42,72.24,Low,Basic,Low,Low,2026-07-18
Pharmaceuticals,Satara,24067,26191,8.83,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,41.69,64609,48.8,72.73,No Change,Moderate,High,Low,2026-04-08
Pharmaceuticals,Beed,47326,50141,5.95,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,39.88,24306,78.78,80.33,Low,Advanced,Medium,Medium,2026-07-23
Pharmaceuticals,Yavatmal,2583,2664,3.14,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,24.11,21297,31.26,87.79,Low,Basic,Low,High,2026-03-09
Pharmaceuticals,Osmanabad,16351,16907,3.4,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,50.21,23381,77.94,89.39,Medium,Moderate,High,Medium,2026-07-15
Pharmaceuticals,Raigad,19630,20852,6.23,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,52.19,76852,46.69,51.92,No Change,Emerging,High,High,2026-08-09
Pharmaceuticals,Ratnagiri,23257,25220,8.44,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,45.86,39383,34.13,85.54,Low,Advanced,High,Medium,2026-07-06
Pharmaceuticals,Sindhudurg,5663,6232,10.06,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,20.95,41377,69.78,72.74,Low,Emerging,Low,Medium,2026-03-11
Pharmaceuticals,Wardha,38712,42330,9.35,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,25.84,48925,80.4,74.49,High,Emerging,Low,Medium,2026-05-17
Pharmaceuticals,Washim,41290,42902,3.91,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,39.73,49089,61.46,67.81,Low,Moderate,High,Low,2026-06-04
Pharmaceuticals,Gondia,23915,25184,5.31,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,40.9,61400,75.9,74.05,Low,Basic,Low,Medium,2026-04-05
Pharmaceuticals,Bhandara,42377,45269,6.83,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,52.43,24614,46.24,54.52,No Change,Advanced,High,High,2026-06-29
Pharmaceuticals,Gadchiroli,29817,31867,6.88,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,28.77,50643,57.35,70.12,High,Moderate,High,Low,2026-07-15
Pharmaceuticals,Hingoli,44153,49281,11.61,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,38.94,38769,75.67,66.59,No Change,Emerging,High,Low,2026-03-11
Pharmaceuticals,Nandurbar,34839,37899,8.78,Pharmacist; Medical Representative; Quality Control Analyst; Production Operator; Lab Technician,56.27,56839,58.55,55.95,Medium,Emerging,Low,Medium,2026-04-17
Agriculture & Food Processing,Mumbai,15838,16771,5.89,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,48.8,35470,82.01,54.65,High,Advanced,Medium,Medium,2026-05-16
Agriculture & Food Processing,Pune,20465,21835,6.7,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,58.88,27633,37.75,63.07,High,Emerging,Medium,Low,2026-07-20
Agriculture & Food Processing,Nagpur,36058,37229,3.25,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,17.99,64325,80.91,89.95,Low,Emerging,Low,Medium,2026-06-18
Agriculture & Food Processing,Thane,8974,9358,4.28,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,27.91,29498,49.58,43.99,Medium,Basic,Low,Low,2026-05-05
Agriculture & Food Processing,Nashik,45711,48756,6.66,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,46.45,28378,37.57,58.96,Low,Moderate,High,Medium,2026-08-06
Agriculture & Food Processing,Aurangabad,42661,44872,5.18,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,54.97,50675,79.25,62.19,Low,Advanced,High,Low,2026-09-02
Agriculture & Food Processing,Solapur,21720,24102,10.97,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,44.23,25694,83.62,41.2,High,Basic,Low,Low,2026-05-04
Agriculture & Food Processing,Amravati,25036,26778,6.96,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,28.62,21594,37.88,82.67,Medium,Moderate,Low,Low,2026-07-23
Agriculture & Food Processing,Kolhapur,16543,18239,10.25,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,22.6,36721,82.32,87.95,Low,Advanced,High,High,2026-05-13
Agriculture & Food Processing,Sangli,35808,40084,11.94,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,43.35,58569,56.55,46.33,Low,Moderate,Medium,High,2026-05-31
Agriculture & Food Processing,Jalgaon,28951,31416,8.52,Farm Supervisor; Food Processing Operator; Quality Inspector; Cold Chain Manager; Agriculture Technician,20.71,58546,78.26,41.29,No Change,Moderate,High,High,2026-08-29
